school_code,county,pub-priv,district,city,school_name,enrollment,up-to-date-percentage,conditional-percentage,medical-exemption-percentage,belief-exemption-percentage,religious-belief_exemption_percentage
6115505,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,TOM KITAYAMA ELEMENTARY,151,99,0,1,0,0
6001440,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,AUGUST SCHILLING ELEMENTARY,57,98,2,0,0,0
130484,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,CROSSROADS HIGH -ALTERNATIVE-,,,,,,
6001457,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,E. L. MUSICK ELEMENTARY,66,100,0,0,0,0
6001473,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,H. A. SNOW ELEMENTARY,52,98,0,2,0,0
6001481,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,JAMES A. GRAHAM ELEMENTARY,58,98,0,2,0,0
6001499,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,JAMES L. BUNKER ELEMENTARY,82,99,0,0,1,0
6001507,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,JOHN F. KENNEDY ELEMENTARY,48,98,2,0,0,0
6001523,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,LINCOLN ELEMENTARY,85,98,2,0,0,0
6001531,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,LOUIS MILANI ELEMENTARY,37,89,11,0,0,0
111476,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ACHIEVE ACADEMY,141,94,6,0,0,0
6002273,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ACORN WOODLAND ELEMENTARY,52,100,0,0,0,0
6001630,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ALLENDALE ELEMENTARY,81,98,2,0,0,0
114363,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,42,90,10,0,0,0
6118608,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASCEND,48,92,8,0,0,0
109819,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE BERKLEY MAYNARD ACADEMY,63,97,2,2,0,0
128413,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE COLLEGE ACADEMY,48,98,2,0,0,0
120188,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE ERES ACADEMY,22,100,0,0,0,0
6117568,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE MONARCH ACADEMY,66,94,6,0,0,0
130732,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE TRIUMPH TECHNOLOGY ACADEMY,45,100,0,0,0,0
6001655,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BELLA VISTA ELEMENTARY,97,96,4,0,0,0
6002075,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BRIDGES ACADEMY,114,95,5,0,0,0
6001663,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BROOKFIELD ELEMENTARY,79,97,3,0,0,0
6001689,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BURCKHALTER ELEMENTARY,55,93,0,0,0,0
6001697,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CARL B. MUNCK ELEMENTARY,49,96,4,0,0,0
131672,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CASTLEMONT PRIMARY ACADEMY,47,91,9,0,0,0
6001648,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CHABOT ELEMENTARY,89,96,2,0,2,0
6001739,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CLEVELAND ELEMENTARY,72,94,3,1,1,0
115204,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,COMMUNITY UNITED ELEMENTARY,72,99,1,0,0,0
114454,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CONSERVATORY OF VOCAL INSTRUMENTAL ARTS,21,100,0,0,0,0
6001754,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CROCKER HIGHLANDS ELEMENTARY,76,95,3,0,1,0
100123,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND LEADERSHIP ACADEMY,15,87,0,0,13,7
115600,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND PRIDE ELEMENTARY,71,100,0,0,0,0
